Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.04,-.35,-.12,-.01,-.81,-.43,-.26,-.15,-.09,-.03,.05,.64
1881,-.07,-.16,.01,-.32,.11,-.07,-.91,-.41,-.17,.10,.12,-.05,-.07,.57
1882,-.09,-.19,.00,-.28,-.04,.01,-1.41,-.23,-.11,-.04,-.03,.02,.04,.60
1883,-.16,-.26,-.06,-.31,-.15,-.01,-.20,-.52,-.21,-.17,-.14,-.03,.07,.47
1884,-.27,-.41,-.14,-.58,-.14,-.14,-1.31,-.63,-.43,-.13,-.15,-.19,-.02,.62
1885,-.32,-.41,-.24,-.62,-.12,-.27,-1.49,-.64,-.43,-.05,-.19,-.33,-.15,.79
1886,-.30,-.41,-.19,-.54,-.18,-.21,-1.57,-.46,-.38,-.19,-.17,-.20,-.21,.56
1887,-.34,-.41,-.28,-.49,-.28,-.28,-1.74,-.47,-.27,-.27,-.29,-.27,-.26,.29
1888,-.16,-.21,-.12,-.39,.11,-.29,-1.28,-.38,-.22,.08,.13,-.31,-.23,.13
1889,-.09,-.15,-.04,-.27,.09,-.16,-.66,-.18,-.26,.03,.14,-.15,-.15,.42
1890,-.34,-.37,-.32,-.44,-.36,-.22,-1.11,-.54,-.25,-.25,-.47,-.18,-.27,.12
1891,-.22,-.24,-.19,-.41,-.07,-.22,-1.13,-.31,-.35,.02,-.16,-.18,-.24,-.18
1892,-.26,-.38,-.15,-.42,-.28,-.08,-1.17,-.63,-.16,-.31,-.26,.02,-.21,.06
1893,-.31,-.46,-.15,-.50,-.35,-.05,-.73,-.52,-.46,-.40,-.30,.07,-.20,-.07
1894,-.29,-.37,-.21,-.31,-.32,-.24,-.99,-.30,-.17,-.47,-.18,-.15,-.35,-.40
1895,-.22,-.28,-.15,-.38,-.06,-.26,-.68,-.49,-.25,-.12,.01,-.20,-.32,-.61
1896,-.10,-.18,-.02,-.33,.11,-.15,-.92,-.33,-.21,.07,.15,-.15,-.13,.23
1897,-.10,-.15,-.05,-.34,.18,-.23,-.57,-.43,-.23,.15,.21,-.19,-.27,.38
1898,-.26,-.26,-.26,-.32,-.21,-.26,-1.12,-.17,-.22,-.17,-.25,-.27,-.21,.35
1899,-.17,-.20,-.14,-.22,-.11,-.19,-1.05,-.06,-.14,-.15,-.07,-.16,-.22,.56
1900,-.07,-.07,-.06,-.19,.18,-.30,-.57,-.10,-.15,.10,.26,-.29,-.29,.24
1901,-.15,-.12,-.18,-.16,-.03,-.31,-.45,-.08,-.14,-.05,.00,-.27,-.34,.23
1902,-.27,-.33,-.22,-.53,-.02,-.35,-1.43,-.50,-.32,-.01,-.04,-.28,-.43,-.07
1903,-.36,-.37,-.36,-.47,-.27,-.38,-.31,-.40,-.55,-.22,-.32,-.35,-.40,-.49
1904,-.46,-.47,-.45,-.50,-.45,-.44,-.20,-.58,-.54,-.42,-.47,-.37,-.49,-1.31
1905,-.26,-.28,-.22,-.40,-.07,-.36,-.09,-.21,-.61,-.11,-.03,-.33,-.37,-.33
1906,-.21,-.22,-.20,-.25,-.18,-.23,-.30,-.05,-.38,-.19,-.16,-.21,-.22,-.71
1907,-.38,-.46,-.29,-.58,-.29,-.29,-.61,-.70,-.51,-.29,-.29,-.21,-.37,-1.19
1908,-.42,-.45,-.39,-.47,-.42,-.36,-.27,-.52,-.51,-.40,-.44,-.29,-.48,.68
1909,-.48,-.49,-.47,-.53,-.46,-.44,-.78,-.60,-.43,-.43,-.50,-.37,-.52,-.56
1910,-.42,-.43,-.42,-.41,-.47,-.38,-.61,-.22,-.49,-.47,-.47,-.33,-.45,.17
1911,-.43,-.42,-.45,-.42,-.42,-.48,-.31,-.40,-.46,-.42,-.41,-.44,-.53,.06
1912,-.35,-.45,-.24,-.58,-.17,-.37,-.51,-.77,-.49,-.26,-.08,-.36,-.29,-1.63
1913,-.34,-.42,-.26,-.43,-.26,-.35,-.51,-.31,-.50,-.39,-.13,-.28,-.40,-1.03
1914,-.15,-.19,-.10,-.24,-.06,-.18,-.38,-.14,-.27,-.11,.00,-.16,-.18,-.36
1915,-.14,-.14,-.13,-.23,.00,-.22,-.62,-.15,-.18,.00,.00,-.15,-.23,-1.98
1916,-.35,-.42,-.30,-.37,-.44,-.23,-.50,-.53,-.24,-.49,-.39,-.22,-.17,-1.04
1917,-.45,-.57,-.35,-.49,-.63,-.19,-.84,-.48,-.42,-.68,-.57,-.22,-.09,.07
